  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 10  0  0  0  0  0
  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1  0  0  0  0  1 10  0  1  0  0  1
  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0 10  0  0  0  0  0
  1  1  1  0  1  0  1  1  0  1  0  1  1  0  0  0  0  1  0  0 10  0  1  0  0  1
  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0 10  0  1  0  0  0
  0  0  1  0  0  0  1  1  0  1  1  1  0  0  1  0  0  0  1  0 10  1  0  1  0  0
  1  1  1  1  0  0  0  0  0  1  0  1  1  0  1  0  0  1  0  0 10  0  1  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 10  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 10  0  0  0  0  0
  0  1  1  1  0  0  1  1  0  0  0  0  0  0  1  0  0  1  0  0 10  0  1  0  0  0
  0  1  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0 10  0  0  0  0  0
  1  1  1  0  0  1  1  1  0  0  1  0  0  0  1  0  0  0  0  0 10  0  0  0  0  0
  1  0  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0  1  0  0 10  0  1  0  1  1
  0  0  0  1  1  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0 10  0  1  0  1  1
  0  1  0  0  0  1  0  1  0  1  1  1  0  0  0  0  0  1  1  0 10  1  0  0  0  0
  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9 10  9  9  9  9  9
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 10  1  0  0  0  0
  0  0  0  1  0  0  0  1  0  1  0  0  0  0  1  0  0  0  0  0 10  0  1  0  0  1
  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9 10  9  9  9  9  9
  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 10  0  0  0  0  0
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
  0  1  1  0  0  1  0  1  1  0  1  1  0  0  1  0  1  0  1  1 10  0  0  1  0  0
  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0 10  0  0  0  0  0
  0  0  0  0  0  1  0  1  1  0  1  0  0  0  1  0  0  0  0  0 10  1  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0 10  0  0  0  0  1
  0  1  1  1  0  1  1  1  0  1  0  0  1  0  0  0  0  1  0  0 10  0  1  0  1  0
