 1  2.30  2
 2  3.40  1
 2  2.20  2
 2  3.43  1
 1  1.39  2
 2  1.39  3
 2  3.26  1
 2  2.94  2
 1  1.61  2
 2  3.00  1
 2  2.94  1
 1  2.08  2
 2  3.53  2
 2  2.71  1
 1  1.79  2
 1  2.89  1
 1  0.69  2
 1  2.56  2
 2  3.22  1
 2  2.77  2
 1  1.95  2
 1  0.69  2
 2  0.00  1
 1  1.39  2
 1  1.79  2
 1  0.69  2
 2  3.53  2
 1  1.79  2
 1  1.79  3
 1  1.10  2
 1  1.39  2
 1  1.95  3
 2  2.71  2
 1  1.79  2
 1  0.00  2
 2  3.40  2
 1  1.61  2
 1  1.79  2
 1  2.08  3
 2  2.71  2
 2  3.71  1
 1  0.69  2
 2  3.71  1
 1  1.95  2
 2  2.30  3
